val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
110,13708,Mannini 2013,No,Classical ML,SVM,Activity type,classes,macro,4,33,33,Laboratory,Structured,Cross-validation,Adults; Older adults,Custom,F1,0.814,0.1066,1.476213692,NA,0.123930933,NA,0.123930933,classes,Other,0,0,4,33,1.280487805,9.540322581,Laboratory,Structured,Activity type,0.352038255,0.814,0.687018839,0.897173731,Row 13708,Classical ML,Row 13708 â€“ Classical ML â€“ (ID 110)
110,13708,Mannini 2013,No,Classical ML,SVM,Activity type,classes,macro,4,33,33,Laboratory,Structured,Cross-validation,Adults; Older adults,Custom,Sensitivity,0.8224,0.0936,1.532693064,NA,0.102669059,NA,0.102669059,classes,Other,0,0,4,33,1.280487805,9.540322581,Laboratory,Structured,Activity type,0.320420128,0.8224,0.711908163,0.896665957,Row 13708,Classical ML,Row 13708 â€“ Classical ML â€“ (ID 110)
110,13708,Mannini 2013,No,Classical ML,SVM,Activity type,classes,macro,4,33,33,Laboratory,Structured,Cross-validation,Adults; Older adults,Custom,Specificity,0.9474,0.0171,2.891005271,NA,0.029437029,NA,0.029437029,classes,Other,0,0,4,33,1.280487805,9.540322581,Laboratory,Structured,Activity type,0.171572228,0.9474,0.927890217,0.961848315,Row 13708,Classical ML,Row 13708 â€“ Classical ML â€“ (ID 110)
111,13708,Mannini 2013,No,Classical ML,SVM,Activity type,classes,macro,4,10,33,Laboratory,Structured,Cross-validation,Adults; Older adults,Custom,F1,0.8341,0.0987,1.614968102,NA,0.127187754,NA,0.127187754,classes,Other,0,0,4,10,1.280487805,-13.45967742,Laboratory,Structured,Activity type,0.356633922,0.8341,0.714219359,0.910027487,Row 13708,Classical ML,Row 13708 â€“ Classical ML â€“ (ID 111)
111,13708,Mannini 2013,No,Classical ML,SVM,Activity type,classes,macro,4,10,33,Laboratory,Structured,Cross-validation,Adults; Older adults,Custom,Sensitivity,0.8411,0.0846,1.666435485,NA,0.10017,NA,0.10017,classes,Other,0,0,4,10,1.280487805,-13.45967742,Laboratory,Structured,Activity type,0.316496446,0.8411,0.740025761,0.907775269,Row 13708,Classical ML,Row 13708 â€“ Classical ML â€“ (ID 111)
111,13708,Mannini 2013,No,Classical ML,SVM,Activity type,classes,macro,4,10,33,Laboratory,Structured,Cross-validation,Adults; Older adults,Custom,Specificity,0.9538,0.0149,3.027474208,NA,0.028583405,NA,0.028583405,classes,Other,0,0,4,10,1.280487805,-13.45967742,Laboratory,Structured,Activity type,0.169066273,0.9538,0.936796377,0.966393257,Row 13708,Classical ML,Row 13708 â€“ Classical ML â€“ (ID 111)
112,11841,Mannini 2017,No,Classical ML,SVM,Activity type,classes,macro,4,53,53,Laboratory,Structured,Cross-validation,Children and Youth; Adults; Older adults,Custom,F1,0.8706,0.0494,1.906274247,NA,0.048071539,NA,0.048071539,classes,Other,0,0,4,53,1.280487805,29.54032258,Laboratory,Structured,Activity type,0.219252227,0.8706,0.814049381,0.911815673,Row 11841,Classical ML,Row 11841 â€“ Classical ML â€“ (ID 112)
112,11841,Mannini 2017,No,Classical ML,SVM,Activity type,classes,macro,4,53,53,Laboratory,Structured,Cross-validation,Children and Youth; Adults; Older adults,Custom,Sensitivity,0.8786,0.0437,1.979238853,NA,0.041964602,NA,0.041964602,classes,Other,0,0,4,53,1.280487805,29.54032258,Laboratory,Structured,Activity type,0.204852635,0.8786,0.828882462,0.915347569,Row 11841,Classical ML,Row 11841 â€“ Classical ML â€“ (ID 112)
112,11841,Mannini 2017,No,Classical ML,SVM,Activity type,classes,macro,4,53,53,Laboratory,Structured,Cross-validation,Children and Youth; Adults; Older adults,Custom,Specificity,0.9614,0.0091,3.215138279,NA,0.015032802,NA,0.015032802,classes,Other,0,0,4,53,1.280487805,29.54032258,Laboratory,Structured,Activity type,0.122608329,0.9614,0.951423802,0.969393274,Row 11841,Classical ML,Row 11841 â€“ Classical ML â€“ (ID 112)
113,11841,Mannini 2017,No,Classical ML,SVM,Activity type,classes,macro,4,20,20,Laboratory,Structured,Cross-validation,Children and Youth,Custom,F1,0.899,0.0364,2.186162518,NA,0.04017729,NA,0.04017729,classes,Other,0,0,4,20,1.280487805,-3.459677419,Laboratory,Structured,Activity type,0.200442736,0.899,0.857330748,0.92949975,Row 11841,Classical ML,Row 11841 â€“ Classical ML â€“ (ID 113)
113,11841,Mannini 2017,No,Classical ML,SVM,Activity type,classes,macro,4,20,20,Laboratory,Structured,Cross-validation,Children and Youth,Custom,Sensitivity,0.912,0.0173,2.338303176,NA,0.011616551,NA,0.011616551,classes,Other,0,0,4,20,1.280487805,-3.459677419,Laboratory,Structured,Activity type,0.107780104,0.912,0.893505026,0.927543424,Row 11841,Classical ML,Row 11841 â€“ Classical ML â€“ (ID 113)
113,11841,Mannini 2017,No,Classical ML,SVM,Activity type,classes,macro,4,20,20,Laboratory,Structured,Cross-validation,Children and Youth,Custom,Specificity,0.9701,0.005,3.479540679,NA,0.00742856,NA,0.00742856,classes,Other,0,0,4,20,1.280487805,-3.459677419,Laboratory,Structured,Activity type,0.086189094,0.9701,0.96479101,0.974629524,Row 11841,Classical ML,Row 11841 â€“ Classical ML â€“ (ID 113)
114,54,Marcotte 2020,Yes - Rowlands 2014,Classical ML,DecisionTree,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Sensitivity,0.835,NA,1.621486251,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.835,0.702227129,0.915679903,Row 54,Classical ML,Row 54 â€“ Classical ML â€“ (ID 114)
114,54,Marcotte 2020,Yes - Rowlands 2014,Classical ML,DecisionTree,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Specificity,0.588,NA,0.355703599,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.588,0.399426138,0.753852165,Row 54,Classical ML,Row 54 â€“ Classical ML â€“ (ID 114)
