val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
177,687,TeLindert 2020,Yes -  Oakley 1997 Sleep algorithm + Immobile-mobile algorithm Meltzer 2015,Threshold / Cutpoint,Threshold,Sleep,external_test,aggregate_cm,2,NA,12,Laboratory,Structured,Hold-out,Adults; Older adults,ActivInsights,Sensitivity,0.953,0.03,3.009467302,NA,NA,0.44860178,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.953,0.90506572,0.977337311,Row 687,Threshold / Cutpoint,TeLindert 2020 – Threshold / Cutpoint – 177
70,7483,Felton 2023,Yes - Cole-Kripke 1992 algorithm,Threshold / Cutpoint,Threshold,Sleep,NA,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; Custom,Sensitivity,0.954,NA,3.032022275,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.954,0.906986057,0.977831541,Row 7483,Threshold / Cutpoint,Felton 2023 – Threshold / Cutpoint – 70
282,35965,Weaver 2025,No,Deep Learning,LSTM,Sleep,participants,per_class,2,10,136,Laboratory,Structured,Cross-validation,Children and Youth,Garmin,Sensitivity,0.956,0.044,3.078568279,NA,NA,NA,0.148242524,constant,Other,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Sleep,0.385022758,0.956,0.910839101,0.978818392,Row 35965,Deep Learning,Weaver 2025 – Deep Learning – 282
176,687,TeLindert 2020,Yes -  Oakley 1997 Sleep algorithm + Immobile-mobile algorithm Meltzer 2015,Threshold / Cutpoint,Threshold,Sleep,external_test,aggregate_cm,2,NA,11,Laboratory,Structured,Hold-out,Adults; Older adults,ActivInsights,Sensitivity,0.958,0.029,3.12717816,NA,NA,0.519477087,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.958,0.914708728,0.979803105,Row 687,Threshold / Cutpoint,TeLindert 2020 – Threshold / Cutpoint – 176
279,35965,Weaver 2025,No,Deep Learning,LSTM,Sleep,participants,per_class,2,10,141,Laboratory,Structured,Cross-validation,Children and Youth,Apple,Sensitivity,0.959,0.057,3.152319008,NA,NA,NA,0.148242524,constant,Other,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Sleep,0.385022758,0.959,0.916649793,0.980294662,Row 35965,Deep Learning,Weaver 2025 – Deep Learning – 279
74,4775,Fraysse 2020,Yes - Esliger 2011,Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,2,NA,31,Laboratory,Structured,External,Older adults,ActivInsights,Sensitivity,0.96,0.0141,3.17805383,NA,0.06741333,NA,0.06741333,classes,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Activity intensity,0.259640771,0.96,0.935182006,0.975563796,Row 4775,Threshold / Cutpoint,Fraysse 2020 – Threshold / Cutpoint – 74
145,4554,Papadopoulos 2015,No,Threshold / Cutpoint,Threshold,Activity type,NA,macro,2,NA,17,Free-living,Unstructured,Hold-out,Older adults,Custom,Sensitivity,0.96,NA,3.17805383,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Free-living,Unstructured,Activity type,0.385022758,0.96,0.918595044,0.980785686,Row 4554,Threshold / Cutpoint,Papadopoulos 2015 – Threshold / Cutpoint – 145
175,884,Tabar 2021,No,Classical ML,RandomForest,Sleep,cv_folds,aggregate_cm,2,20,20,Free-living,Structured,Cross-validation,Adults,ActivInsights,Sensitivity,0.9606,NA,3.193792273,NA,NA,NA,0.148242524,constant,Other,0,0,2,20,-0.628078818,-2.652173913,Free-living,Structured,Sleep,0.385022758,0.9606,0.91976421,0.981080045,Row 884,Classical ML,Tabar 2021 – Classical ML – 175
22,7678,Bianchim 2023,No,Threshold / Cutpoint,Threshold,Activity intensity,classes,macro,3,35,35,Laboratory,Structured,Cross-validation,Children and Youth,ActivInsights,Sensitivity,0.961,0.022,3.204412763,NA,0.114854527,NA,0.114854527,classes,Threshold,0,0,3,35,0.371921182,12.34782609,Laboratory,Structured,Activity intensity,0.338901943,0.961,0.926910003,0.979540987,Row 7678,Threshold / Cutpoint,Bianchim 2023 – Threshold / Cutpoint – 22
40,804,Chao 2021,No,Linear / GLM,LogisticRegression,Sleep,external_test,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; ActivInsights,Sensitivity,0.961,0.04,3.204412763,NA,NA,1.13905316,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.961,0.920544495,0.981276179,Row 804,Linear / GLM,Chao 2021 – Linear / GLM – 40
141,25046,Ode 2022,No,Classical ML,GradientBoosting,Sleep,NA,aggregate_cm,2,25,25,Laboratory,Structured,Cross-validation,Adults,Custom,Sensitivity,0.9613,NA,3.212446935,NA,NA,NA,0.148242524,constant,Other,0,0,2,25,-0.628078818,2.347826087,Laboratory,Structured,Sleep,0.385022758,0.9613,0.921130151,0.981423223,Row 25046,Classical ML,Ode 2022 – Classical ML – 141
130,4239,Montoye 2016,No,Classical ML,ANN,Activity type,classes,macro,3,40,40,Laboratory,Hybrid,Cross-validation,Adults,ActiGraph; ActivInsights,Sensitivity,0.9645,0.0381,3.302077136,NA,0.412731415,NA,0.412731415,classes,Other,0,0,3,40,0.371921182,17.34782609,Laboratory,Hybrid,Activity type,0.64244176,0.9645,0.88522735,0.989659196,Row 4239,Classical ML,Montoye 2016 – Classical ML – 130
298,36434,Logacjov 2025,No,Heuristic Rule,HeuristicRule,Sleep,cv_folds,per_class,2,31,31,Laboratory,Structured,Cross-validation,Adults,Apple,Sensitivity,0.965,0.035,3.31678004,0.034640462,NA,NA,0.034640462,cv_folds,Threshold,0,0,2,31,-0.628078818,8.347826087,Laboratory,Structured,Sleep,0.186119484,0.965,0.950357261,0.97543532,Row 36434,Heuristic Rule,Logacjov 2025 – Heuristic Rule – 298
95,8106,Huang 2022,No,Deep Learning,CNN_Attention,Sleep,cv_folds,aggregate_cm,2,5,31,Laboratory,Structured,Cross-validation,Adults,Apple,Sensitivity,0.9671,NA,3.380829245,NA,NA,NA,0.148242524,constant,Other,0,0,2,5,-0.628078818,-17.65217391,Laboratory,Structured,Sleep,0.385022758,0.9671,0.932527884,0.984256731,Row 8106,Deep Learning,Huang 2022 – Deep Learning – 95
207,2101,Zhang 2012,No,Classical ML,DecisionTree,Activity type,classes,macro,4,NA,20,Hybrid,Structured,Hold-out,Adults,Unilever & ActivInsights,Sensitivity,0.9687,0.0268,3.432336869,NA,0.195318024,NA,0.195318024,classes,Other,0,1,4,22.65217391,1.371921182,0,Hybrid,Structured,Activity type,0.441947988,0.9687,0.928648956,0.986593983,Row 2101,Classical ML,Zhang 2012 – Classical ML – 207
90,46,Hildebrand 2017,No,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,10,30,Laboratory,Structured,Cross-validation,Children and Youth,ActivInsights,Sensitivity,0.97,NA,3.47609869,NA,NA,NA,0.148242524,constant,Threshold,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Activity type,0.385022758,0.97,0.938280793,0.985666849,Row 46,Threshold / Cutpoint,Hildebrand 2017 – Threshold / Cutpoint – 90
73,7483,Felton 2023,Yes - Kripke 2010 algorithm,Threshold / Cutpoint,Threshold,Sleep,NA,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; Custom,Sensitivity,0.972,NA,3.547151294,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.972,0.942269554,0.986636781,Row 7483,Threshold / Cutpoint,Felton 2023 – Threshold / Cutpoint – 73
101,7472,Kim 2023,No,Classical ML,RandomForest,Sleep,NA,macro,2,NA,30,Laboratory,Structured,Apparent,Adults,Maxim Integrated,Sensitivity,0.9739,NA,3.619373315,NA,NA,NA,0.148242524,constant,Other,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.9739,0.946075054,0.987556286,Row 7472,Classical ML,Kim 2023 – Classical ML – 101
72,7483,Felton 2023,Yes - Oakley 1997 algorithm,Threshold / Cutpoint,Threshold,Sleep,NA,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; Custom,Sensitivity,0.974,NA,3.623314766,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.974,0.946275782,0.987604629,Row 7483,Threshold / Cutpoint,Felton 2023 – Threshold / Cutpoint – 72
299,36434,Logacjov 2025,Yes - Yuan 2024,Deep Learning,CNN_LSTM,Sleep,cv_folds,per_class,2,31,31,Laboratory,Structured,External,Adults,Apple,Sensitivity,0.977,0.025,3.748992436,0.039927629,NA,NA,0.039927629,cv_folds,Other,0,0,2,31,-0.628078818,8.347826087,Laboratory,Structured,Sleep,0.199818991,0.977,0.966344608,0.984336546,Row 36434,Deep Learning,Logacjov 2025 – Deep Learning – 299
91,46,Hildebrand 2017,No,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,10,30,Laboratory,Structured,Cross-validation,Adults,ActivInsights,Sensitivity,0.98,NA,3.891820298,NA,NA,NA,0.148242524,constant,Threshold,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Activity type,0.385022758,0.98,0.958400424,0.990495735,Row 46,Threshold / Cutpoint,Hildebrand 2017 – Threshold / Cutpoint – 91
92,46,Hildebrand 2017,No,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,10,30,Laboratory,Structured,Cross-validation,Children and Youth; Adults,ActiGraph,Sensitivity,0.98,NA,3.891820298,NA,NA,NA,0.148242524,constant,Threshold,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Activity type,0.385022758,0.98,0.958400424,0.990495735,Row 46,Threshold / Cutpoint,Hildebrand 2017 – Threshold / Cutpoint – 92
93,46,Hildebrand 2017,No,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,10,30,Laboratory,Structured,Cross-validation,Adults,ActiGraph,Sensitivity,0.98,NA,3.891820298,NA,NA,NA,0.148242524,constant,Threshold,0,0,2,10,-0.628078818,-12.65217391,Laboratory,Structured,Activity type,0.385022758,0.98,0.958400424,0.990495735,Row 46,Threshold / Cutpoint,Hildebrand 2017 – Threshold / Cutpoint – 93
39,804,Chao 2021,No,Linear / GLM,LogisticRegression,Sleep,external_test,aggregate_cm,2,NA,27,Laboratory,Structured,External,Adults,Apple; ActivInsights,Sensitivity,0.988,0.08,4.410776048,NA,NA,45.53062299,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.988,0.974818248,0.994321766,Row 804,Linear / GLM,Chao 2021 – Linear / GLM – 39
297,36434,Logacjov 2025,No,Deep Learning,ANN,Sleep,cv_folds,per_class,2,31,31,Laboratory,Structured,Cross-validation,Adults,Apple,Sensitivity,0.989,0.013,4.498799059,0.046062452,NA,NA,0.046062452,cv_folds,Other,0,0,2,31,-0.628078818,8.347826087,Laboratory,Structured,Sleep,0.21462165,0.989,0.983343216,0.992749857,Row 36434,Deep Learning,Logacjov 2025 – Deep Learning – 297
71,7483,Felton 2023,Yes - Webster 1982 algorthm,Threshold / Cutpoint,Threshold,Sleep,NA,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; Custom,Sensitivity,0.992,NA,4.820281566,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.992,0.983137172,0.996222568,Row 7483,Threshold / Cutpoint,Felton 2023 – Threshold / Cutpoint – 71
31,6979,Bianchim 2024,No,Classical ML,GradientBoosting,Activity intensity,classes,NA,4,10,28,Laboratory,Structured,Cross-validation,Children and Youth,ActivInsights,Sensitivity,1,NA,13.81550956,NA,NA,NA,0.148242524,constant,Other,0,0,4,10,1.371921182,-12.65217391,Laboratory,Structured,Activity intensity,0.385022758,1,0.999997873,1,Row 6979,Classical ML,Bianchim 2024 – Classical ML – 31
32,6979,Bianchim 2024,No,Classical ML,GradientBoosting,Activity intensity,classes,NA,4,10,35,Laboratory,Structured,Cross-validation,Children and Youth,ActivInsights,Sensitivity,1,NA,13.81550956,NA,NA,NA,0.148242524,constant,Other,0,0,4,10,1.371921182,-12.65217391,Laboratory,Structured,Activity intensity,0.385022758,1,0.999997873,1,Row 6979,Classical ML,Bianchim 2024 – Classical ML – 32
33,6979,Bianchim 2024,No,Classical ML,GradientBoosting,Activity intensity,classes,NA,4,10,35,Laboratory,Structured,Cross-validation,Children and Youth,ActiGraph,Sensitivity,1,NA,13.81550956,NA,NA,NA,0.148242524,constant,Other,0,0,4,10,1.371921182,-12.65217391,Laboratory,Structured,Activity intensity,0.385022758,1,0.999997873,1,Row 6979,Classical ML,Bianchim 2024 – Classical ML – 33
43,804,Chao 2021,No,Classical ML,RandomForest,Sleep,external_test,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; ActivInsights,Sensitivity,1,0.01,13.81550956,NA,NA,100000200,0.148242524,constant,Other,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,1,0.999997873,1,Row 804,Classical ML,Chao 2021 – Classical ML – 43
149,188,Plekhanova 2023,Yes - van Hees 2018,Heuristic Rule,HeuristicRule,Sleep,external_test,aggregate_cm,2,NA,30,Laboratory,Structured,External,Adults,Axivity,Specificity,0.2,0.21,-1.386294361,NA,NA,1.72265625,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.2,0.105180983,0.347136555,Row 188,Heuristic Rule,Plekhanova 2023 – Heuristic Rule – 149
150,188,Plekhanova 2023,Yes - van Hees 2018,Heuristic Rule,HeuristicRule,Sleep,external_test,aggregate_cm,2,NA,30,Laboratory,Structured,External,Adults,ActivInsights,Specificity,0.2,0.18,-1.386294361,NA,NA,1.265625,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.2,0.105180983,0.347136555,Row 188,Heuristic Rule,Plekhanova 2023 – Heuristic Rule – 150
151,188,Plekhanova 2023,Yes - van Hees 2018,Heuristic Rule,HeuristicRule,Sleep,external_test,aggregate_cm,2,NA,30,Laboratory,Structured,External,Adults,ActiGraph,Specificity,0.21,0.21,-1.324925415,NA,NA,1.602307323,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.21,0.111098422,0.361172032,Row 188,Heuristic Rule,Plekhanova 2023 – Heuristic Rule – 151
39,804,Chao 2021,No,Linear / GLM,LogisticRegression,Sleep,external_test,aggregate_cm,2,NA,27,Laboratory,Structured,External,Adults,Apple; ActivInsights,Specificity,0.219,0.18,-1.27150342,NA,NA,1.107527995,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.219,0.116484767,0.373587041,Row 804,Linear / GLM,Chao 2021 – Linear / GLM – 39
43,804,Chao 2021,No,Classical ML,RandomForest,Sleep,external_test,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; ActivInsights,Specificity,0.24,0.2,-1.15267951,NA,NA,1.202293013,0.148242524,constant,Other,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.24,0.129281772,0.401784567,Row 804,Classical ML,Chao 2021 – Classical ML – 43
72,7483,Felton 2023,Yes - Oakley 1997 algorithm,Threshold / Cutpoint,Threshold,Sleep,NA,aggregate_cm,2,NA,31,Laboratory,Structured,External,Adults,Apple; Custom,Specificity,0.328,NA,-0.717244732,NA,NA,NA,0.148242524,constant,Threshold,0,1,2,22.65217391,-0.628078818,0,Laboratory,Structured,Sleep,0.385022758,0.328,0.186655614,0.509348879,Row 7483,Threshold / Cutpoint,Felton 2023 – Threshold / Cutpoint – 72
