Covidence #,Study ID,Title,SQ1,SQ2,SQ3,SQ4,Domain 1: Patient Selection/Study Design,SQ5,SQ6,Domain 2: Index Measure,SQ7,SQ8,Domain 3: Criterion Measure,SQ9,SQ10,SQ11,Domain 4: Flow and Timing
2529,Davoudi 2021,The Effect of Sensor Placement and Number on Physical Activity Recognition and Energy Expenditure Estimation in Older Adults: Validation Study.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
2608,Hibbing 2018,Adapted Sojourn Models to Estimate Activity Intensity in Youth: A Suite of Tools.,Yes,Yes,Yes,Yes,Low risk of bias,No,Yes,High risk of bias,No,NA,High risk of bias,NA,No,Yes,High risk of bias
2676,Wang 2016,A statistical estimation framework for energy expenditure of physical activities from a wrist-worn accelerometer.,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
2834,Weaver 2024,A Device Agnostic Approach to Predict Children's Activity from Consumer Wearable Accelerometer Data: A Proof-of-Concept Study.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
2869,Sano 2014,Comparison of sleep-wake classification using electroencephalogram and wrist-worn multi-modal sensor data.,No,NA,No,No,High risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
2884,Gifford 2021,Measuring the Exercise Component of Energy Availability during Arduous Training in Women.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
2919,Mardini 2020,Deep CHORES: Estimating Hallmark Measures of Physical Activity Using Deep Learning.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
2956,Hernando 2018,Establishing cut-points for physical activity classification using triaxial accelerometer in middle-aged recreational marathoners.,No,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
2995,Ahmadi 2020,"Machine Learning to Quantify Physical Activity in Children with Cerebral Palsy: Comparison of Group, Group-Personalized, and Fully-Personalized Activity  Classification Models.",Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
3298,Mardini 2021,Age Differences in Estimating Physical Activity by Wrist Accelerometry Using Machine Learning.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
3389,Montoye 2015,Energy Expenditure Prediction Using Raw Accelerometer Data in Simulated Free Living.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
3488,Altini 2014,Personalizing energy expenditure estimation using physiological signals normalization during activities of daily living.,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,No,Yes,Yes,High risk of bias
3598,Sirichana 2017,Wrist-worn triaxial accelerometry predicts the energy expenditure of non-vigorous daily physical activities.,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
3713,Kiuchi 2014,Preliminary study for the assessment of physical activity using a triaxial accelerometer with a gyro sensor on the upper limbs of subjects with paraplegia  driving a wheelchair on a treadmill.,Yes,No,Yes,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
3932,Dibben 2020,Physical activity assessment by accelerometry in people with heart failure.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
4094,Ellis 2016,Hip and Wrist Accelerometer Algorithms for Free-Living Behavior Classification.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
4137,Duncan 2019,Estimating Physical Activity in Children Aged 8-11 Years Using Accelerometry: Contributions From Fundamental Movement Skills and Different Accelerometer  Placements.,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
4239,Montoye 2016,"Validation and Comparison of Accelerometers Worn on the Hip, Thigh, and Wrists for Measuring Physical Activity and Sedentary Behavior.",Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
4346,Bai 2022,Are Machine Learning Models on Wrist Accelerometry Robust against Differences in Physical Performance among Older Adults?,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
4490,Ahmadi 2020,Machine Learning Models for Classifying Physical Activity in Free-Living Preschool Children.,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
4554,Papadopoulos 2015,Differentiating Walking from other Activities of Daily Living in Older Adults Using Wrist-based Accelerometers.,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
4775,Fraysse 2020,Physical Activity Intensity Cut-Points for Wrist-Worn GENEActiv in Older Adults.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
4934,vanHees 2018,Estimating sleep parameters using an accelerometer without sleep diary.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
