id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,features,features_extracted_from,window_size,feature_types_model,feature_selection,method_best,sub_method_best,outcomes
574,Schaefer 2014,2014,United States of America,Children and Youth,24,13,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,75 Hz,51-80 Hz,0,75 Hz,None,Bandpass (0.2 - 15 Hz) non-recursive filter,Band-pass,0.2,15,FIlter,Time-domain,ENMO (milligravity); MAD (milligravity),"Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
5456,Sevil 2020,2020,United States of America,Adults,25,13,n.r.,n.r.,1,E4 (Empatica),Empatica,n.r.,Triaxial ,n.r.,n.r.,64 Hz,51-80 Hz,0,64 Hz,None,Median filter + Savitzky€“Golay (details such as cut-off n.r.) ,Low-pass,n.a.,n.r.,None,Time-domain; Frequency-domain; Non-linear,CNN-derived time-domain features.,"Individual axes (x,y,z); Signal vector magnitude",1 min,Time-domain; Frequency-domain; Non-linear,Principal component analysis,Deep Learning,LSTM,Activity type
25641,Shwetar 2022,2022,United States of America,Adults,60,11,Wheelchair users,n.r.,1,GT9X Link (ActiGraph); GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain; Frequency-domain,SVM (g),"Individual axes (x,y,z); Signal vector magnitude; Euclidean Norm Minus One (ENMO)",60 sec,Time-domain; Frequency-domain,"Pair-wise Pearson correlation >= 0.90, feature retained",Classical ML,RandomForest,Activity intensity
1068,Siddall 2019,2019,United Kingdom,Adults,20,10,Apparently healthy,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,,,,Time-domain,SVMgs (g.min),"Individual axes (x,y,z)",1 min,Time-domain,n.a.,Heuristic Rule,HeuristicRule,Energy expenditure
3598,Sirichana 2017,2017,United States of America,Adults,20,10,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,40 Hz,21-50 Hz,0,40 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,Activity counts (unitless),"Individual axes (x,y,z)",60 sec,Time-domain,n.a.,Linear / GLM,LinearRegression,Energy expenditure
198,Staudenmayer 2015,2015,United States of America,Adults,20,10,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Minimum, Maximum, Mean, SD, Correlation (XY, XZ, YZ), Median zero-crossings, Percentiles (10th, 25th, 50th, 75th,90th), Dominant frequency, Dominant-frequency magnitude, Gender, Age, Height, Weight","Individual axes (x,y,z); Signal vector magnitude",15 sec,Time-domain; Frequency-domain,Based on lowest mean square error (MSE) and misclassification error for LR and DT. n.r. for RF,Classical ML,RandomForest,Activity intensity; Energy expenditure
10178,Steenbock 2019,2019,Germany,Children and Youth,41,n.r.,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain,"Hildebrand: ENMO (mg)
Phillips: SVM (mg)
Schaefer: BFEN (mg)","Individual axes (x,y,z)",30 sec,Time-domain,None,Classical ML,RandomForest,Energy expenditure
92,Sundararajan 2021,2021,Netherlands; United States of America; France; United Kingdom,Adults,164,82,Mixed,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,"Time-domain; Non-linear, Spatial","Zero crossing counts using VM, mean VM, SD VM, max VM across 7 windows","Single axis; Individual axes (x,y,z); ENMO",30 sec,"Time-domain; Non-linear, Spatial",None,Classical ML,RandomForest,Sleep-Wake
884,Tabar 2021,2021,Denmark,Adults,20,13,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain,Maximum power (g²) in 0.7€“3 Hz band on normalised data (vector magnitude),Signal vector magnitude,30 sec,Time-domain,None,Classical ML,RandomForest,Sleep-Wake
687,TeLindert 2020,2020,Netherlands,Adults; Older adults,114,83,Mixed,n.r.,0,GENEActiv Sleep (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,None,None,,,,Time-domain,SVM (g/min),Single axis,30 sec,Time-domain,None,Threshold / Cutpoint,Threshold,Sleep-Wake
