id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,features,features_extracted_from,window_size,feature_types_model,feature_selection,method_best,sub_method_best,outcomes
1795,Ahmadi 2018,2018,Australia,Children and Youth; Adults,22,11,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,Visual inspection,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Sum of motion counts, CV of sum of motion counts (%)",Signal vector magnitude,10 sec,Time-domain; Frequency-domain,Random Forest automatic feature selection,Classical ML,RandomForest,Activity type
2995,Ahmadi 2020,2020,Australia,Children and Youth,38,25,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Mean acceleration (xyz), Upper limb strength","Individual axes (x,y,z); Signal vector magnitude",10 sec,Time-domain; Frequency-domain,Minimum Redundancy Maximum Relevance,Classical ML,RandomForest,Activity type
4490,Ahmadi 2020,2020,Australia,Children and Youth,31,9,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Spatial,"75th percentile (x angle), lag-1 sec autocorrelation (z filtered), median frequency 0.3-3 Hz (raw z), range (x filtered), mean frequency power (VM filtered), absolute signal change (VM filtered), 95th percentile (raw VM), 90th percentile (VM filtered), 3rd moment (y angle), mean frequency 0.3-3 Hz (Z filtered)","Individual axes (x,y,z)",15 sec,Time-domain; Frequency-domain,Minimum Redundancy Maximum Relevance ,Classical ML,RandomForest,Activity type
1844,Ahmadi 2020,2020,Australia,Children and Youth,10,n.r.,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,ENMO (mg),Signal vector magnitude,10 sec,Time-domain; Frequency-domain,None,Classical ML,RandomForest,Energy expenditure
52,Ahmadi 2020,2020,Australia,Children and Youth,31,9,n.r.,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,SVM (g.min),"Individual axes (x,y,z); Signal vector magnitude",15 sec,Time-domain; Frequency-domain; Spatial,Random Forest automatic feature selection,Classical ML,RandomForest,Activity type
962,Ahmadi 2022,2022,Australia,Children and Youth,31,9,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None; Subtracting 1g from VM,Time-domain; Frequency-domain,Activity counts from seven epochs,"Individual axes (x,y,z); Signal vector magnitude",15 sec,Time-domain; Frequency-domain,Random forest automatic feature selection; n.a.,Classical ML,RandomForest,Activity type
14135,Altini 2013,2013,Netherlands,Adults,16,4,Apparently healthy,n.r.,1,Imec Wristband,Imec,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,"Mean, standard deviation, minimum, maximum, interquartile range, percentiles (10th, 25th, 50th, 75th, 95th), coefficient of variation, signal sum, power, peak-to-peak amplitude, median crossings, dominant frequency (0.25€“5 Hz), magnitude of dominant frequency (0.25€“5 Hz)",n.r.,15 sec,Time-domain; Frequency-domain,Mutual information for activity type recognition; linear forward selection for EE estimation,Classical ML,SVM,Activity type; Energy expenditure
3488,Altini 2014,2014,Netherlands,Adults,18,4,Apparently healthy,n.r.,1,Imec Wristband,Imec,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,"All features; Subset: Shannon's entropy, main frequency of the FFT, energy of the 0.2 Hz window centred around the main frequency over total FFT energy, mean of cross covariance between each 2 axes",n.r.,4 sec,Time-domain; Frequency-domain,Mutual information for activity type recognition; linear forward selection for EE estimation,Classical ML,SVM,Activity type; Energy expenditure
185,Altini 2015,2015,Netherlands,Adults,15,4,n.r.,n.r.,1,Imec Necklace,Imec,ADXL330 (Analog Devices),Triaxial ,n.r.,n.r.,64 Hz,51-80 Hz,0,64 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,"Mean, standard deviation, coefficient of variation, minimum, maximum, quantiles (25th, 75th), moments (third, fourth), skewness, kurtosis, mean angle between x-axis and VM, standard deviation of angles in the window, percentage of power of VM (0.6-2.5 Hz), dominant frequency of VM, fraction of power in VM at dominant frequency",n.r.,4 sec,Time-domain; Frequency-domain,Correlation for activity type recognition; forward selection based on variance explained within a cluster for EE estimation,Classical ML,SVM,Activity type; Energy expenditure
31390,Atallah 2011,2011,United Kingdom,Adults,11,2,Apparently healthy,n.r.,1,Custom,Custom,ADXL330 (Analog Devices),Triaxial ,±3g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,Raw band-pass filtered z-axis time series; FFT coefficients,"Individual axes (x,y,z)",5 sec,Time-domain; Frequency-domain,"Relief algorithm, Simba algorithm, Minimum Redundancy Maximum Relevance",Classical ML,NaiveBayes,Activity type
4346,Bai 2022,2022,United States of America,Older adults,247,141,Clinical,1,1,GT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,Zero-crossing (unitless),"Individual axes (x,y,z); Signal vector magnitude",60 sec,Time-domain; Frequency-domain,Ensemble learning using eXtreme Gradient Boosting (XGBoost),Classical ML,GradientBoosting,Activity intensity; Activity type; Energy expenditure
662,Bakrania 2016,2016,United Kingdom,Adults,33,20,n.r.,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g; ±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM; Subtracting mean,Time-domain,1024-element vector output of ResNet-17 encoder,"Individual axes (x,y,z)",5 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity type
264,Bammann 2021,2021,Germany; United Kingdom,Older adults,20,9,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,n.r.,"Individual axes (x,y,z)",60 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
1830,Banfi 2021,2021,Italy,Adults,81,n.r.,Mixed,n.r.,1,AX3 (Axivity Ltd.),Axivity,ADXL345 (Analog Devices),Triaxial ,n.r.,10 bit,100 Hz,81-100 Hz,1,8.3 Hz,None,None,None,n.a.,n.a.,None,CNN-derived time-domain and spatial features,"Activity counts generated according to Borazio (2014), Cole (1992), Oakley (1997)","Individual axes (x,y,z)",30 sec,CNN-derived time-domain and spatial features,CNN automatic feature selection,Deep Learning,CNN,Sleep-Wake
9734,Barouni 2020,2020,Germany,Adults,93,n.r.,Mixed,n.r.,1,Move3 (Movisens GmbH),Movisens,n.r.,Triaxial ,±8g,4 mg,64 Hz,51-80 Hz,0,64 Hz,None,Butterworth bandpass (0.25-3 Hz) [fourth order],Band-pass,0.25,3,FIlter,Time-domain,SVM (g.s),n.r.,30 sec,Time-domain,None,Threshold / Cutpoint,Threshold,Sleep-Wake
7678,Bianchim 2023,2023,United Kingdom,Children and Youth,63,31,Mixed,n.r.,1,"GT9X Link (ActiGraph); GENEActiv (ActivInsights)
",ActiGraph; ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM; Subtracting mean,Time-domain,K (count/epoch),"Individual axes (x,y,z)",5 sec,Time-domain,None,Threshold / Cutpoint,Threshold,Activity intensity
6979,Bianchim 2024,2024,United Kingdom,Children and Youth,63,31,Mixed,n.r.,1,GT9X Link (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Visual inspection,6 Hz cutoff to separate low/high frequency components,Low-pass,n.a.,6,None,Time-domain,"Activity intensity: ENMO (milli-g), 
Activity type: Coefficient of variation of log-transformed ENMO per 10 sec",Signal vector magnitude,5 sec,Time-domain,None,Classical ML,GradientBoosting,Activity intensity
13351,Borazio 2014,2014,Germany,Adults; Older adults,42,20,Clinical,n.r.,1,Custom ,Custom,ADXL345 (Analog Devices),Triaxial ,±4g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Visual inspection,"Oakley: Butterworth bandpass (3-11 Hz) [first order];
Cole: Butterworth bandpass (0.5-11 Hz) [first order];
Estimation of Stationary Sleep-segments (ESS): Time-domain low-pass filter (standard deviation <= 6)",Low-pass,n.a.,n.r.,None,Time-domain,"Mean and variance of biaxial acceleration, lagged acceleration values; interaction terms; height, weight, BMI, age, VO2max",Single axis (z),1 sec,Time-domain,ESS: Manual threshold selection via parameter sweep,Threshold / Cutpoint,Threshold,Sleep-Wake
194,Cakmak 2020,2020,United States of America,Older adults,102,0,Clinical,n.r.,1,E4 (Empatica),Empatica,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,None,Butterworth bandpass (0.25 - 11 Hz) [n.r.],Band-pass,0.25,18,FIlter,Time-domain,"Mean (mg), entropy, BMI (kg/m^2), height (cm), weight (kg), fat %",Single axis,30 sec,Time-domain,Better performance in terms of F-1 score,Probabilistic Temporal,StateSpace,Sleep-Wake
804,Chao 2021,2021,United States of America,Adults,58,n.r.,Mixed,n.r.,1,Apple Watch; GENEActiv (ActivInsights),Apple; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50-85.7 Hz,51-80 Hz,0,50-85.7 Hz,None,Bandpass (3 - 11 Hz) [n.r.] for activity counts,Band-pass,3,11,FIlter,Time-domain,"Oakley: scaled maximum absolute counts
Cole: scaled zero-crossing counts
ESS: z-axis standard deviation (STD), segment duration","Individual axes (x,y,z)",30 sec,Time-domain,Backward elimination followed by recursive feature elimination optimizing AUROC performance,Classical ML,RandomForest,Sleep-Wake
377,Crotti 2020,2020,United Kingdom,Children and Youth,32,17,n.r.,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"Mean, standard deviation, skewness, kurtosis","Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
2529,Davoudi 2021,2021,United States of America,Older adults,93,47,Apparently healthy,1,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,Mean and variance of activity counts,"Individual axes (x,y,z); Signal vector magnitude",16 sec,Time-domain; Frequency-domain,None,Classical ML,RandomForest,Activity type; Energy expenditure
3932,Dibben 2020,2020,United Kingdom,Adults,22,5,Clinical,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"Mean wrist elevation angle (degrees), mean vector magnitude (milli-g), summed gravity-subtracted vector magnitude (g.15 s)","Individual axes (x,y,z)",5 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
13339,Dong 2014,2014,United States of America,n.r.,25,17,n.r.,n.r.,1,Custom,Custom,ADXL202,Biaxial ,±2g,10 bit,10 Hz,1-20 Hz,0,10 Hz,None,None,None,n.a.,n.a.,None,Time-domain,Activity index,"Individual axes (x,y,z)",4.2 sec,Time-domain,Based on previous research,Classical ML,ANN,Energy expenditure
2188,Duncan 2016,2016,United Kingdom,Children and Youth,15,6,Apparently healthy,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,n.r. (subset of extracted features based on feature selection),"Individual axes (x,y,z)",1 sec,Time-domain,Based on previous research,Threshold / Cutpoint,Threshold,Activity intensity
4137,Duncan 2019,2019,United Kingdom,Children and Youth,30,14,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,n.r.,"Individual axes (x,y,z)",1 sec,Time-domain,Based on previous research,Threshold / Cutpoint,Threshold,Activity intensity
105,Duncan 2020,2020,United Kingdom,Older adults,23,14,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,SVM (mg.5 sec),"Individual axes (x,y,z)",1 sec,Time-domain,Based on previous research,Threshold / Cutpoint,Threshold,Activity intensity
577,Duncan 2020,2020,United Kingdom,Children and Youth,20,0,Apparently healthy,1,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,SVM (g.s or g) - depends on algorithm used,"Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
5534,Ellingson 2017,2017,United States of America,Adults,51,22,Apparently healthy,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,100 Hz,81-100 Hz,0,100 Hz,None,None; Bandpass (0.24-2.5 Hz) [n.r.],None; Band-pass,2.5,0.24,Filter; Subtracting 1g from VM,Time-domain; Frequency-domain,"Root mean square, standard deviation, skewness, kurtosis, zero-crossing, peak-to-peak, Hjorth mobility, Hjorth complexity, peak powers, dominant frequencies, total energy, spectral entropy, peak power in 0-2.5 Hz range, dominant frequency in 0-2.5 Hz range, total energy in 0-2.5 Hz range, spectral entropy in 0-2.5 Hz range, Hurst exponent, auto mutual information, false nearest neighbor, Lyapunov exponent, Sample entropy","Individual axes (x,y,z); Signal vector magnitude",15 sec,Time-domain; Frequency-domain,None,Linear / GLM,LinearRegression,Energy expenditure
901,Ellis 2014,2014,United States of America,Adults,40,21,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Mean, standard deviation, minimum, maximum, total power (0.3-15 Hz), first and second dominant frequencies (0.3-15 Hz), and their powers (0.3-15 Hz), dominant frequency (0.6-2.5 Hz) and its power, ratio between power of first dominant frequency and total power (0.3-15 Hz), ratio between the dominant frequency of current segment and the segment before","Individual axes (x,y,z); Signal vector magnitude",1 min,Time-domain; Frequency-domain,None,Classical ML,RandomForest,Activity type; Energy expenditure
4094,Ellis 2016,2016,United States of America,Adults,40,40,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,"Low-pass (0.5 Hz) [n.r.] for gravity direction estimation used for angular features (roll, pitch, yaw)",Low-pass,n.a.,0.5,None,Time-domain; Frequency-domain,ENMO (mg),"RF model: Signal vector magnitude,
GGIR analysis: Individual axes (x,y,z)",1 min,Time-domain; Frequency-domain,"RF model: embedded feature selection,
GGIR analysis: None
",Hybrid / Ensemble,RF + HMM,Activity type
35670,Esliger 2011,2011,Canada; United Kingdom,Adults,60,37,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,12 bit,80 Hz,51-80 Hz,0,80 Hz,"Intra- and inter-instrument reliability, and criterion validity of acceleration signal assessed using a Multi-Axis Shaking Table",None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,Same 10 features above (units: mg² for variance/energy; degrees for orientation),"Individual axes (x,y,z)",1 min,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
9709,Farrahi 2020,2020,Finland; United States of America,Children and Youth; Adults,33,n.r.,n.r.,n.r.,1,GT3X+ (ActiGraph); Colibri IMU (Trivisio); MTx tracker (Xsens),ActiGraph; Trivisio; Xsens,n.r.,Triaxial , ±6g; ±16g; ±5g,n.r.,25-100 Hz,Variable,1,25 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,"Mean, standard deviation, maximum, first df, ratio of power at df and total power, range, power at frequencies higher than 3.5 Hz divided by total power, active samples, number of activations","Individual axes (x,y,z); Signal vector magnitude",60 sec,Time-domain; Frequency-domain,None,Classical ML,ANN,Activity type
7483,Felton 2023,2023,United States of America,Adults,n.r.,n.r.,n.r.,n.r.,0,Apple Watch; Custom,Apple; Custom,n.r.,Triaxial ,±5g,n.r.,n.r.,n.r.,n.r.,n.r.,None,Bandpass (n.r.) [n.r.],Band-pass,n.r.,n.r.,Filter,Time-domain,"Peak-to-peak interval (seconds), Maximum magnitude (mg)",Signal vector magnitude,30 sec,Time-domain,None,Threshold / Cutpoint,Threshold,Sleep-Wake
4775,Fraysse 2020,2020,Australia,Older adults,31,14,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,ADXL345 (Analog Devices),Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Low-pass (20 Hz) [n.r.],Low-pass,n.a.,20,Subtracting 1g from VM,Time-domain,ENMO (mg),"Individual axes (x,y,z)",5 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
2326,Fridolfsson 2021,2021,Sweden,Adults,63,19,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±16g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,Bandpass (0.69 - 10 Hz) [n.r.],Band-pass,0.69,10,FIlter,Time-domain,ENMO (mg); MAD (mg),Signal vector magnitude,1 min,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity; Energy expenditure
10688,Fujimoto 2018,2018,Japan,Adults,100,40,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,None,None,None,n.a.,n.a.,None,Time-domain,Long-short-term memory recurrent layer (LSTM-RNN) derived feature map,Single axis (y),30 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Sleep-Wake
2884,Gifford 2021,2021,United Kingdom,Adults,47,47,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,75 Hz,51-80 Hz,0,75 Hz,Calibration mentioned (details n.r.),None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,n.r.,n.r.,1 min,Time-domain,n.a.,Linear / GLM,LinearRegression,Energy expenditure
15949,Haapalainen 2008,2008,Finland,Adults,10,2,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Biaxial ,±1.5g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Erroneous values outside 0-3 V replace by mean of signal,None,None,n.a.,n.a.,None,Time-domain; Temporal,"Integrated absolute accelerations for x,y,z axes (unit n.r.), exercise time (min), body weight (kg)",Individual axes (2D),15 sec,Time-domain; Temporal,Backward elimination based on p-value (Î± = 0.1) and log-likelihood,Non-linear / Mixed Statistical,MixedEffects,Energy expenditure
15839,Haapalainen 2008,2008,Finland,Adults,10,2,Apparently healthy,n.r.,1,Custom,Custom,n.r.,Biaxial ,±1.5g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Erroneous values outside ±1.5g replace by mean of signal,None,None,n.a.,n.a.,None,Time-domain; Temporal,Vector magnitude,Individual axes (2D),15 sec,Time-domain; Temporal,Backward selection via leave-one-out cross-validation,Non-linear / Mixed Statistical,MixedEffects,Energy expenditure
2956,Hernando 2018,2018,Spain,Adults,98,15,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,85.7 Hz,81-100 Hz,0,85.7 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"Pregnant women: VM (mg), Weight (kg)
Non-pregnant women: VM (mg), Body wear side","Individual axes (x,y,z)",1 min,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
2608,Hibbing 2018,2018,United States of America,Children and Youth,81,46,n.r.,n.r.,1,GT3X+ (ActiGraph); wGT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,±8g,12 bit,100 Hz,81-100 Hz,0,100 Hz,Accelerometer data coefficient of variation for each activity > 90% - removed participant from analysis,'Normal filter' specified (n.r.),n.r.,n.r.,n.r.,Subtracting 1g from VM,Time-domain,"Mean, standard deviation, minimum, maximum, lag one autocorrelation, percentiles (10%, 25%, 50%, 75%, 90%)",Euclidean Norm Minus One (ENMO),"1 sec, 15 sec",Time-domain,None,Hybrid / Ensemble,ANN + DT,Activity intensity
1041,Hibbing 2018,2018,United States of America,Adults,30,10,Apparently healthy,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g; ±8g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,n.r.,"Individual axes (x,y,z)","1 sec, 10 sec",Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
26667,Hibbing 2023,2023,United States of America,Adults,24,14,Apparently healthy,n.r.,0,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Depends on method used,"PP (seconds), Max (ADC counts), MD (proportion of epochs per window)","Individual axes (x,y,z); Signal vector magnitude",-,Time-domain; Frequency-domain,Depends on method used,Non-linear / Mixed Statistical,Polynomial,Energy expenditure
1079,Hildebrand 2014,2014,Norway; United Kingdom,Children and Youth; Adults,60,31,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,KXSC7-3672 (Kionix); ADXL345 (Analog Devices),Triaxial ,±6g; ±8g,12 bit,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,SVM-g (mg),"Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity; Energy expenditure
46,Hildebrand 2017,2017,Norway; Netherlands,Children and Youth; Adults,60,31,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g; ±8g,n.r.,60 Hz,51-80 Hz,0,60 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,HPFVM (mg) or ENMO (mg),"Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity type
6332,Hossain 2021,2021,United States of America,Adults,28,14,Apparently healthy,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,None,Time-domain,n.r.,"Individual axes (x,y,z)",30 sec,Time-domain,Principal Component Analysis,Classical ML,RandomForest,Activity type
8106,Huang 2022,2022,United States of America; China,Adults,58,n.r.,Mixed,n.r.,1,Apple Watch; GENEActiv (ActivInsights),Apple; ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50-85.7 Hz,51-80 Hz,0,50-85.7 Hz,None,Finite Impulse Response low-pass filter (5 Hz),Low-pass,n.a.,5,None,CNN-derived time-domain features,ENMO (mg),"Individual axes (x,y,z)",30 sec,CNN-derived time-domain features,CNN automatic feature selection,Deep Learning,CNN_Attention,Sleep-Wake
5071,Huang 2024,2024,United States of America,Adults,7,0,Wheelchair users,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None; Subtracting 1g from VM,Time-domain; Frequency-domain,ENMO (mg),"Individual axes (x,y,z); Signal vector magnitude; Euclidean Norm Minus One (ENMO)",1 min,Time-domain; Frequency-domain,"Correlation based feature selection where if pairwise Peason's correlation coefficient between any two features was > 0.9, the one with the lower sequence number in the list was dropped.",Classical ML,RandomForest,Energy expenditure
34241,Hurter 2019,2019,United Kingdom,Children and Youth,27,17,Apparently healthy,n.r.,0,GT9X Link (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,Depends on model evaluated (see corresponding model details),"Individual axes (x,y,z)",15 sec,Time-domain,n.a.,Classical ML,DecisionTree,Activity type
30700,IEEE 2016,2016,Estonia,Adults,25,12,Apparently healthy,n.r.,1,Shimmer3 (Shimmer),Shimmer,n.r.,Triaxial ,±16g,n.r.,512 Hz,>100 Hz,1,25 Hz,None,Lowpass Butterworth IIR filter (0.1 Hz) [third order] to obtain the static component,Low-pass,n.a.,0.1,Filter,Time-domain,"SVM (g.sec), but thresholds reported in g.min and mg","Individual axes (x,y,z)",3 sec,Time-domain,Feature correlation analysis (removal of feature with correlation >0.90),Classical ML,DecisionTree,Activity type
25995,Ingraham 2019,2019,United States of America,Adults,10,2,Apparently healthy,n.r.,1,E4 (Empatica),Empatica,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,1 minute Gaussian kernel filter (0.1 Hz),Low-pass,n.a.,0.1,None,Time-domain,SVM (g.min),"Individual axes (x,y,z)",n.r.,Time-domain,n.a.,Linear / GLM,LinearRegression,Energy expenditure
5492,Jeong 2022,2022,South Korea,Adults,32,19,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Nonlinear,Median of absolute change in arm angle between successive epochs (5-sec) for a specified window (5-min),"Individual axes (x,y,z)",5 sec,Time-domain; Frequency-domain; Nonlinear,Random Forest feature importance based on Gini impurity,Classical ML,RandomForest,Activity type
