id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,window_size,method_best,sub_method_best,outcomes
36015,Bailey 2025,2025,United Kingdom,Adults,15,4,Wheelchair users,n.r.,1,z-Track (Glenworth Associates),Glenworth Associates,n.r.,Triaxial ,±4 g,n.r.,10 Hz,1-20 Hz,0,10 Hz,None,None,None,n.a.,n.a.,None,Time-domain,60 sec,Linear / GLM,LinearRegression,Activity intensity; Energy expenditure
339,Pavey 2017,2017,Australia,Adults,21,8,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,10 sec,Classical ML,RandomForest,Activity type
465,Zhang 2012,2012,United Kingdom; Australia,Adults,60,37,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Time-frequency,12.8 sec,Classical ML,DecisionTree,Activity type
662,Bakrania 2016,2016,United Kingdom,Adults,33,20,n.r.,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g; ±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM; Subtracting mean,Time-domain,5 sec,Threshold / Cutpoint,Threshold,Activity type
1438,vanHees 2013,2013,United Kingdom,Adults,28,15,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,Butterworth low-pass (0.2 Hz) [fourth order],Low-pass; High-pass,0.2,0.2,Filter; Subtracting 1g from VM,"Time-domain; Frequency-domain; Nonlinear, Spatial",2 sec AND 4 sec for frequency-domain features,Linear / GLM,LogisticRegression,Activity type
1487,Kwon 2021,2021,United States of America,Adults,20,12,Apparently healthy,1,0,Custom,Custom,n.r.,Triaxial ,n.r.,n.r.,25 Hz,21-50 Hz,0,25 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity type
2101,Zhang 2012,2012,United Kingdom; Australia,Adults,60,37,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,n.r.,Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Time-frequency,12.8 sec,Classical ML,DecisionTree,Activity type
4094,Ellis 2016,2016,United States of America,Adults,40,40,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,"Low-pass (0.5 Hz) [n.r.] for gravity direction estimation used for angular features (roll, pitch, yaw)",Low-pass,n.a.,0.5,None,Time-domain; Frequency-domain,1 min,Hybrid / Ensemble,RF + HMM,Activity type
4239,Montoye 2016,2016,United States of America,Adults,40,21,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g,n.r.,20 Hz,1-20 Hz,0,20 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Deep Learning,ANN,Activity type
5456,Sevil 2020,2020,United States of America,Adults,25,13,n.r.,n.r.,1,E4 (Empatica),Empatica,n.r.,Triaxial ,n.r.,n.r.,64 Hz,51-80 Hz,0,64 Hz,None,Median filter + Savitzky€“Golay (details such as cut-off n.r.) ,Low-pass,n.a.,n.r.,None,Time-domain; Frequency-domain; Non-linear,1 min,Deep Learning,LSTM,Activity type
