id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,window_size,method_best,sub_method_best,outcomes
524,Meredith-Jones 2024,2024,New Zealand,Children and Youth,137,67,Apparently healthy,1,0,AX3 (Axivity); wGT3X-BT (ActiGraph),Axivity; ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,Calibration performed using open-source Pampro package v0.5,Median filter,Low-pass,,,,Time-domain; Spatial,5 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
35916,Burger 2025,2025,Netherlands,Children and Youth,29,11,Clinical,n.r.,0,wGT3X-BT (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,n.r.,n.r.,n.r.,n.r.,None,None,None,n.a.,n.a.,None,Time-domain,60 secc,Threshold / Cutpoint,Threshold,Sleep-Wake
35929,Chen 2025,2025,United States of America,Children and Youth,30,14,Clinical,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,Yes. Raw files were loaded with autocalibration and imputation activated in GGIR part 1. Two participants were excluded due to corrupted actigraphy files.,None,None,n.a.,n.a.,None,Time-domain,30 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
35965,Weaver 2025,2025,United States of America,Children and Youth,238,112,Clinical,1,1,"Apple Watch (Apple), Fitbit Sense (Fitbit), Vivoactive 4 (Garmin), GT9X Link (ActiGraph)",Apple; Fitbit; Garmin; ActiGraph,n.r.,Triaxial ,n.r.,n.r.,"25 to 100 Hz
ActiGraph - 100 Hz
Apple and Fitbit - 50 Hz
Garmin - 25 Hz",Variable,0,"25 to 100 Hz
ActiGraph - 100 Hz
Apple and Fitbit - 50 Hz
Garmin - 25 Hz",None,None,None,n.a.,n.a.,None,Frequency-domain,30 sec,Deep Learning,LSTM,Sleep-Wake
35999,Cepni 2025,2025,United States of America,Children and Youth,110,59,Clinical,1,0,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,Data integrity checks reported; calibration not reported,None,None,n.a.,n.a.,None,Time-domain; Other: Spatial,60 sec,Heuristic Rule,HeuristicRule,Sleep-Wake
37664,Chen 2026,2026,United States of America; Mexico,Children and Youth,30,14,Mixed,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,50 Hz,21-50 Hz,0,50 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Depends on method used,Time-domain,30 sec,Threshold / Cutpoint,Threshold,Sleep-Wake
1079,Hildebrand 2014,2014,Norway; United Kingdom,Children and Youth; Adults,60,31,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,KXSC7-3672 (Kionix); ADXL345 (Analog Devices),Triaxial ,±6g; ±8g,12 bit,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity intensity; Energy expenditure
46,Hildebrand 2017,2017,Norway; Netherlands,Children and Youth; Adults,60,31,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g; ±8g,n.r.,60 Hz,51-80 Hz,0,60 Hz,Auto-calibration using GGIR,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,1 sec,Threshold / Cutpoint,Threshold,Activity type
1795,Ahmadi 2018,2018,Australia,Children and Youth; Adults,22,11,Clinical,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,Visual inspection,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,10 sec,Classical ML,RandomForest,Activity type
9709,Farrahi 2020,2020,Finland; United States of America,Children and Youth; Adults,33,n.r.,n.r.,n.r.,1,GT3X+ (ActiGraph); Colibri IMU (Trivisio); MTx tracker (Xsens),ActiGraph; Trivisio; Xsens,n.r.,Triaxial , ±6g; ±16g; ±5g,n.r.,25-100 Hz,Variable,1,25 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,60 sec,Deep Learning,ANN,Activity type
5753,Mahadevan 2021,2021,United States of America,Children and Youth; Adults,32,22,Mixed,1,0,GENEActiv Original (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,1,20 Hz,None,Butterworth high-pass (0.25 Hz) [first order],High-pass,0.25,,,Time-domain,1 min,Heuristic Rule,HeuristicRule,Sleep-Wake
11841,Mannini 2017,2017,Italy; United States of America,Children and Youth; Adults; Older adults,53,30,n.r.,n.r.,1,Custom,Custom,MMA7331LCR1 (NXP Semiconductors),Triaxial ,±4g,n.r.,90 Hz,81-100 Hz,0,90 Hz,Data loss checked - windows with less than 80% samples at 90 Hz discarded,Butterworth low-pass filter (5 Hz) [fourth order],Low-pass,n.a.,5,Subtracting 1g from VM,Time-domain; Frequency-domain,12.8 sec,Classical ML,SVM,Activity type
